HOMO-LUMO gap (Eh),Metal center charge,Denticity,Isomer
0.084486,0.4773563576372331,1,
0.12045,0.3168842688503586,1,
0.124008,0.0080114404371922,1,
0.0912029999999999,0.3676301606758633,1,
0.0419789999999999,0.4756301978297554,1,
0.1271759999999999,0.0749213007223243,1,
0.137708,0.4004720358726539,1,
0.080295,0.2730640745255758,1,
0.138578,0.1167415659944733,1,
0.166708,-0.0077982526225487,1,
0.080879,0.377587216997445,1,
0.101186,0.4239778959498154,1,
0.112964,0.3226482836857253,1,
0.125818,0.3483234555071884,1,
0.1479609999999999,0.2775910250520982,1,
0.1237149999999999,0.2324671623426547,1,
0.130895,0.2281923516206857,1,
0.116942,0.3626000648148933,1,
0.1346979999999999,0.1493220391061394,1,
0.088601,0.4478029871798403,1,
0.09619,0.1535356233918153,1,
0.1284259999999999,0.3496696188305006,1,
0.161055,0.1038127916186686,1,
0.077663,0.3391920675239412,1,
0.169989,0.1077167108059959,1,
0.128423,0.07448567990443,1,
0.122608,0.2352265456347615,1,
0.064287,0.094192728382794,1,
0.150195,-0.0258135523931983,1,
0.1010839999999999,0.4808203132933442,1,
0.1420799999999999,0.1008761542430878,1,
0.0975559999999999,0.3751636855749996,1,
0.144457,0.2093323820568778,1,
0.166799,-0.0036017663395709,1,
0.163061,-0.0130441124919251,1,
0.1404269999999999,0.4376840752459369,1,
0.066423,0.0201937487541798,1,
0.120262,0.0946587989882189,1,
0.100636,0.3476525425081015,1,
0.147908,0.1699549294636466,1,
0.104615,0.15398708217467,1,
0.125091,0.2437713013910511,1,
0.107901,0.3226976319804848,1,
0.0862679999999999,0.2813845014765435,1,
0.120034,0.2635605433104053,1,
0.0769289999999999,0.3781830895227538,1,
0.0923809999999999,0.4328377358806599,1,
0.167968,0.1083422071314753,1,
0.153029,0.0815405032874787,1,
0.129177,0.2783589352028122,1,
0.059046,0.4889892185750896,1,
0.099689,0.3495639550347819,1,
0.126048,0.2297509994779886,1,
0.117475,0.2331958835258514,1,
0.105921,0.2252665121077059,1,
0.0984259999999999,0.3272577633195827,1,
0.157904,0.1753018670230408,1,
0.123304,0.2419772028609138,1,
0.099841,0.3681511745344878,1,
0.146317,-0.0123017714556692,1,
0.1612559999999999,0.0828367051448233,1,
0.111524,0.3835120797446643,1,
0.124762,0.3788580709811022,1,
0.1255,0.4702104587947671,1,
0.1723229999999999,-0.00670107998065,1,
0.132627,0.1818089876407623,1,
0.120921,0.2475311443262654,1,
0.0904619999999999,0.425182514602791,1,
0.0860799999999999,0.3710858374098921,1,
0.079229,0.3165021504270115,1,
0.072959,0.3422520859695238,1,
0.1303039999999999,0.2395550095272194,1,
0.0932989999999999,0.3419266820767088,1,
0.124901,0.0939090570360558,1,
0.1563549999999999,0.2040625489141302,1,
0.160493,0.0274954991199313,1,
0.05468,0.0671504861164021,1,
0.1060899999999999,0.1441145888354707,1,
0.1595479999999999,0.0576081536855053,1,
0.124871,0.2558027348048451,1,
0.049934,0.1675295705067267,1,
0.077798,0.3163660538178641,1,
0.1400539999999999,0.6176888142638356,1,
0.095242,0.3598320344427885,1,
0.094864,0.1460686577707831,1,
0.13831,0.2629696829705682,1,
0.123231,0.2317206586573107,1,
0.101816,0.4909239792185787,1,
0.099722,0.3705363078253902,1,
0.161461,-0.0135198942998192,1,
0.113633,0.1332099931616649,1,
0.101531,0.3888448510508857,1,
0.0873099999999999,0.213627689387147,1,
0.161826,-0.0196298355402786,1,
0.092144,0.3852207377289972,1,
0.1341319999999999,-0.064651481759929,1,
0.095581,0.3330691455596549,1,
0.111866,0.2225564847982911,1,
0.158171,0.2506375391416053,1,
0.0833149999999999,0.4203866674795262,1,
0.167344,0.0130846120052972,1,
0.120447,0.3649046780123469,1,
0.1083679999999999,0.3073783339939672,1,
0.121757,0.2061850801349048,1,
0.1460459999999999,0.1549523500364268,1,
0.1117819999999999,0.3617894297357052,1,
0.1052479999999999,0.3316553456300538,1,
0.097207,0.3276585035211792,1,
0.107258,0.1641251981776579,1,
0.0929,0.3541129827336111,1,
0.147349,0.194908830043904,1,
0.097922,0.3419476020262434,1,
0.128401,0.2173825936954799,1,
0.1676479999999999,0.1429864660196759,1,
0.1125309999999999,0.3249333873647623,1,
0.166937,0.1307157884461915,1,
0.17546,0.0604891710147177,1,
0.120012,0.2309752891478932,1,
0.085518,0.3942539926783602,1,
0.122416,0.208925633552038,1,
0.149364,0.0725647815175423,1,
0.0938759999999999,0.3444493955473643,1,
0.103995,0.34843372614334,1,
0.162062,0.0644179409809855,1,
0.1710689999999999,0.0937947152976168,1,
0.102431,0.3421137404099864,1,
0.1616919999999999,-0.0159559345709555,1,
0.119874,0.3948650203084603,1,
0.07521,0.4187745749456398,1,
0.093984,0.3367079165224036,1,
0.102945,0.3620337095804594,1,
0.073561,0.3089125641908303,1,
0.132234,0.2848365807424649,1,
0.102947,0.3521557358620587,1,
0.057327,0.0574643989995498,1,
0.1697469999999999,0.1024771805314773,1,
0.113156,0.3219176897967263,1,
0.095409,0.3429792477388937,1,
0.205974,0.3323917188330318,1,
0.103725,0.2191405191069353,1,
0.1346069999999999,0.2628986871756966,1,
0.1502649999999999,0.1136284570716994,1,
0.081684,0.2732223621474015,1,
0.1357369999999999,0.2884408490348621,1,
0.100064,0.3371949442099727,1,
0.069662,0.2723696770667957,1,
0.159055,-0.0053242919252331,1,
0.0848709999999999,0.2054846152955746,1,
0.171471,0.1240715157527362,1,
0.153302,0.1318986014659901,1,
0.122654,0.2620416506171887,1,
0.182253,0.0477599008337407,1,
0.1170229999999999,0.3101322381698418,1,
0.1257889999999999,0.2056542003548775,1,
0.140522,0.3681352551395059,1,
0.103263,0.2983095395818125,1,
0.15961,-0.1532292698049056,1,
0.1311659999999999,0.2710814690827429,1,
0.0983459999999999,0.3331847416053017,1,
0.0869499999999999,0.3773140874402219,1,
0.133807,0.138554645060986,1,
0.091304,0.3619719294553647,1,
0.1776889999999999,0.171303269167433,1,
0.0938129999999999,0.3415028839570964,1,
0.0852699999999999,0.3616912174630374,1,
0.114437,0.4467100631193175,1,
0.097691,0.3451508681487556,1,
0.1519469999999999,0.5210086324005131,1,
0.079199,0.2460882227458109,1,
0.138503,0.1641387080066676,1,
0.15521,-0.1516802208409168,1,
0.1822769999999999,0.1806398630717073,1,
0.0870609999999999,0.2714017010549686,1,
0.124362,0.2576340403337859,1,
0.1039639999999999,0.4798070297875647,1,
0.101458,0.3637647687979148,1,
0.115591,0.2807319327119401,1,
0.149695,0.3135787773036172,1,
0.156387,0.1295479128147232,1,
0.170489,-0.0057503134906876,1,
